list,name,desc,labels,estimate_md
P8 B2C,B2C-BOOKING-VALIDATION: Walidacja rezerwacji,Wymaganie B2C-BOOKING-VALIDATION. Strumień P8 B2C. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p8,
P8 B2C,B2C-PRICE-FROM: Prezentacja ceny od,Wymaganie B2C-PRICE-FROM. Strumień P8 B2C. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p8,
P8 B2C,B2C-CATALOG-LIST: Lista katalogu,Wymaganie B2C-CATALOG-LIST. Strumień P8 B2C. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p8,
P8 B2C,B2C-DEVICE-MODAL: Modal urządzenia,Wymaganie B2C-DEVICE-MODAL. Strumień P8 B2C. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p8,
P8 B2C,B2C-CATALOG-VIEW-TRACKED: Śledzenie obejrzanych urządzeń,Wymaganie B2C-CATALOG-VIEW-TRACKED. Strumień P8 B2C. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p8,
P8 B2C,B2C-CONTENT-PAGES: Strony treściowe,Wymaganie B2C-CONTENT-PAGES. Strumień P8 B2C. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p8,
P8 B2C,B2C-NAV-STATE: Stan nawigacji,Wymaganie B2C-NAV-STATE. Strumień P8 B2C. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p8,
P8 B2C,B2C-PROPERTY-DATA: Powierzchnia i przeznaczenie lokalu na potrzeby VAT,Wymaganie B2C-PROPERTY-DATA. Strumień P8 B2C. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p8,
P8 B2C,CATALOG-REFRESH: Odświeżenie katalogu urządzeń i cen hurtowych,Wymaganie CATALOG-REFRESH. Strumień P8 B2C. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p8,
P9 CRM i serwisy,CRM-KLI-AC1: Kartoteka klienta,Wymaganie CRM-KLI-AC1. Strumień P9 CRM i serwisy. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p9,
P9 CRM i serwisy,CRM-KLI-AC2: Kartoteka klienta: powiązania,Wymaganie CRM-KLI-AC2. Strumień P9 CRM i serwisy. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p9,
P9 CRM i serwisy,CRM-KLI-AC3: Kartoteka klienta: historia,Wymaganie CRM-KLI-AC3. Strumień P9 CRM i serwisy. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p9,
P9 CRM i serwisy,CRM-INST-AC1: Kartoteka instalacji,Wymaganie CRM-INST-AC1. Strumień P9 CRM i serwisy. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p9,
P9 CRM i serwisy,CRM-INST-AC2: Kartoteka instalacji: powiązania,Wymaganie CRM-INST-AC2. Strumień P9 CRM i serwisy. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p9,
P9 CRM i serwisy,CRM-UST-AC1: Obsługa usterek z SLA 48h,Wymaganie CRM-UST-AC1. Strumień P9 CRM i serwisy. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p9,
P9 CRM i serwisy,CRM-UST-AC2: Usterki: przypisanie,Wymaganie CRM-UST-AC2. Strumień P9 CRM i serwisy. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p9,
P9 CRM i serwisy,CRM-UST-AC3: Usterki: zamknięcie,Wymaganie CRM-UST-AC3. Strumień P9 CRM i serwisy. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p9,
P9 CRM i serwisy,CRM-AUDYT-AC2: Audytorzy: lista,Wymaganie CRM-AUDYT-AC2. Strumień P9 CRM i serwisy. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p9,
P9 CRM i serwisy,CRM-AUDYT-AC3: Audytorzy: szczegóły,Wymaganie CRM-AUDYT-AC3. Strumień P9 CRM i serwisy. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p9,
P9 CRM i serwisy,CRM-AUDYT-KARTOTEKA: Kartoteka audytora,Wymaganie CRM-AUDYT-KARTOTEKA. Strumień P9 CRM i serwisy. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p9,
P9 CRM i serwisy,CRM-ZESP-KARTOTEKA: Kartoteka ekipy,Wymaganie CRM-ZESP-KARTOTEKA. Strumień P9 CRM i serwisy. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p9,
P9 CRM i serwisy,CRM-ZESP-AC1: Ekipy: lista,Wymaganie CRM-ZESP-AC1. Strumień P9 CRM i serwisy. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p9,
P9 CRM i serwisy,CRM-ZESP-AC3: Ekipy: uprawnienia,Wymaganie CRM-ZESP-AC3. Strumień P9 CRM i serwisy. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p9,
P9 CRM i serwisy,CRM-ZESP-REP: Raport ekip,Wymaganie CRM-ZESP-REP. Strumień P9 CRM i serwisy. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p9,
P9 CRM i serwisy,CRM-ZIMNE-AC1: Zimne leady,Wymaganie CRM-ZIMNE-AC1. Strumień P9 CRM i serwisy. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p9,
P9 CRM i serwisy,CRM-BOOK-HISTORY: Historia rezerwacji,Wymaganie CRM-BOOK-HISTORY. Strumień P9 CRM i serwisy. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p9,
P9 CRM i serwisy,CRM-REGION-AUTO: Automatyczny region,Wymaganie CRM-REGION-AUTO. Strumień P9 CRM i serwisy. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p9,
P9 CRM i serwisy,CRM-PROJECT-NUMBER: Numer projektu,Wymaganie CRM-PROJECT-NUMBER. Strumień P9 CRM i serwisy. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p9,
P9 CRM i serwisy,CRM-READABLE-IDENTIFIERS: Czytelne identyfikatory,Wymaganie CRM-READABLE-IDENTIFIERS. Strumień P9 CRM i serwisy. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p9,
P9 CRM i serwisy,CRM-SRV-TRIGGER: Cron przypomnień o serwisach rocznych,Wymaganie CRM-SRV-TRIGGER. Strumień P9 CRM i serwisy. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p9,
P9 CRM i serwisy,SRV-SOURCE-OF-TRUTH: Źródło prawdy dla daty serwisu,Wymaganie SRV-SOURCE-OF-TRUTH. Strumień P9 CRM i serwisy. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p9,
P9 CRM i serwisy,SRV-REMINDER-ONCE: Jedno przypomnienie na cykl,Wymaganie SRV-REMINDER-ONCE. Strumień P9 CRM i serwisy. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p9,
P9 CRM i serwisy,SRV-NEXT-DATE: Data kolejnego serwisu po montażu,Wymaganie SRV-NEXT-DATE. Strumień P9 CRM i serwisy. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p9,
P10 Jakość i wdrożenie,UI-NO-HARDCODED-COLORS: Zero kolorów hex w komponentach,Wymaganie UI-NO-HARDCODED-COLORS. Strumień P10 Jakość i wdrożenie. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p10,
P10 Jakość i wdrożenie,UI-ICONS-LUCIDE-ONLY: Ikony wyłącznie z lucide-react,Wymaganie UI-ICONS-LUCIDE-ONLY. Strumień P10 Jakość i wdrożenie. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p10,
P10 Jakość i wdrożenie,UI-FORMS-RHF-ZOD: Formularze na react-hook-form i Zod,Wymaganie UI-FORMS-RHF-ZOD. Strumień P10 Jakość i wdrożenie. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p10,
P10 Jakość i wdrożenie,UI-SLA-NO-GREEN: Brak zielonych alertów SLA,Wymaganie UI-SLA-NO-GREEN. Strumień P10 Jakość i wdrożenie. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p10,
P10 Jakość i wdrożenie,SLA-LOG-COLORS: Kolory logów SLA,Wymaganie SLA-LOG-COLORS. Strumień P10 Jakość i wdrożenie. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p10,
P10 Jakość i wdrożenie,CRM-CONTEXT-MENU: Menu kontekstowe w tabelach,Wymaganie CRM-CONTEXT-MENU. Strumień P10 Jakość i wdrożenie. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p10,
P10 Jakość i wdrożenie,OPS-MONITORING: Monitoring Sentry,Wymaganie OPS-MONITORING. Strumień P10 Jakość i wdrożenie. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p10,
P10 Jakość i wdrożenie,"OPS-DOMAINS: Domeny produkcyjne, SSL, DKIM/SPF/DMARC",Wymaganie OPS-DOMAINS. Strumień P10 Jakość i wdrożenie. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p10,
P10 Jakość i wdrożenie,QA-E2E-CRITICAL-PATHS: Testy E2E ścieżek krytycznych,Wymaganie QA-E2E-CRITICAL-PATHS. Strumień P10 Jakość i wdrożenie. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p10,
